"index";"Latitude";"Longitude";"gares_id";"nom_gare";"nomlong";"ligne";"x";"y";"prix_moyen_2014";"prix_moyen_2015";"prix_moyen_2016";"prix_moyen_2017";"prix_moyen_2018";"prix_moyen_2019";"prix_moyen_global"
"24,0";"48,8761263529";"2,3580475053599996";"314,0";"Gare de l'Est";"GARE DE L'EST";"5";"652915,7135";"6864202,9359";"7445,827682186727";"8812,434002473276";"7605,264285865756";"8544,835140534955";"8588,479686838653";"10798,574422088486";"8632,56920333131"
"251,0";"48,87627270350001";"2,3580579043400003";"315,0";"Gare de l'Est";"GARE DE L'EST";"7";"652916,6085";"6864219,2029";"7353,918869492674";"8832,507558281084";"7610,4239233225435";"8545,65607636542";"8547,96556765622";"10875,702825358529";"8627,695803412746"
"25,0";"48,843985581999995";"2,3730142199400004";"317,0";"Gare de Lyon";"GARE DE LYON";"14";"653985,0528";"6860620,3235";"7304,842807587011";"7682,310629572109";"12291,163545515514";"7488,3705639447335";"43671,016271349305";"8237,069186831863";"14445,795500800088"
"173,0";"48,879551284399994";"2,3569951640099998";"318,0";"Gare du Nord";"GARE DU NORD";"4";"652841,632";"6864584,3939";"6821,294055726867";"7063,764475543744";"7271,611546062276";"8025,235958211226";"8622,06573856149";"9526,486648508977";"7888,40973710243"
"335,0";"48,8798501425";"2,3574593465900002";"319,0";"Gare du Nord";"GARE DU NORD";"5";"652875,9451";"6864617,3479";"6814,285782970325";"6810,265858273375";"7200,810278973823";"7872,139081648564";"8504,522867792833";"9380,94108347638";"7763,827492189215"
"87,0";"48,8720238095";"2,30056045125";"329,0";"George-V";"GEORGE V";"1";"648695,3653";"6863782,5778";"14872,918207490307";"13960,429240138152";"13385,8827173648";"12994,161460529409";"30769,666402467486";"17608,333829261075";"17265,23197620854"
"329,0";"48,831129548";"2,34351165775";"331,0";"Glacière";"GLACIERE";"6";"651808,0022";"6859208,4674";"7661,499171657077";"7711,735017488673";"7807,4038223146235";"8391,08939493573";"8928,626067188236";"9513,401674575849";"8335,625858026699"
"246,0";"48,869957512700005";"2,37109483973";"332,0";"Goncourt (Hôpital Saint-Louis)";"GONCOURT (HOPITAL SAINT-LOUIS)";"11";"653867,1922";"6863509,3023";"7289,654433574089";"7423,1989995510185";"7481,856818109212";"8400,920646185948";"12324,060897671872";"10499,82068412317";"8903,252079869219"
"248,0";"48,892828853400005";"2,3274284585";"342,0";"Guy Môquet";"GUY MOQUET";"13";"650685,8186";"6866078,8433";"6978,678098183913";"6856,994166840932";"6715,138126402746";"9278,030192229367";"8564,922027675311";"9554,012606955252";"7991,295869714587"
"249,0";"48,8735133896";"2,32754308036";"344,0";"Havre-Caumartin";"HAVRE-CAUMARTIN";"3";"650675,9316";"6863931,0147";"45092,90105827559";"13465,935787401191";"8861,007136639226";"11856,587205652899";"12953,745374938038";"11232,253421114436";"17243,73833067023"
"332,0";"48,8737134067";"2,32769540963";"345,0";"Havre-Caumartin";"HAVRE-CAUMARTIN";"9";"650687,2939";"6863953,16";"44774,336997527156";"13481,606922353292";"8860,753105195516";"15023,428959678295";"13030,114499437483";"11183,636079949785";"17725,646094023585"
"88,0";"48,8912285932";"2,4023521425400003";"348,0";"Hoche";"HOCHE";"5";"656177,9025";"6865856,7161";"4954,208754208754";"4619,515756456294";"4800,799570162737";"4745,224070282338";"4313,783055058297";"5148,5059138465085";"4763,672853335821"
"20,0";"48,8574779825";"2,35157756299";"352,0";"Hôtel de Ville";"HOTEL DE VILLE";"1";"652424,1554";"6862133,2583";"10183,483141304925";"9954,007062786637";"9291,854152595906";"12731,40520900092";"13864,61447122652";"14175,675113736528";"11700,173191775239"
"169,0";"48,8574518326";"2,35100846139";"353,0";"Hôtel de Ville";"HOTEL DE VILLE";"11";"652382,3765";"6862130,6937";"10248,686569863608";"9958,461947806652";"9258,97257952387";"12537,688515804099";"13801,497963979058";"14214,900708674086";"11670,034714275229"
"336,0";"48,8647940658";"2,2941620181099998";"359,0";"Iéna";"IENA";"9";"648218,8598";"6862982,8662";"8918,974751230835";"9643,508282899684";"11746,064969221337";"10418,671329349743";"11816,414108951316";"12743,71728976527";"10881,225121903031"
"253,0";"48,862364704099996";"2,31390957779";"362,0";"Invalides";"INVALIDES";"13";"649665,1809";"6862699,9731";"11689,824561165682";"11419,56996422545";"11480,084871370073";"11725,046592735871";"22326,874647712837";"14009,793013546896";"13775,1989417928"
"254,0";"48,862325329099995";"2,31513843219";"363,0";"Invalides";"INVALIDES";"8";"649755,2952";"6862694,8123";"12195,005231620322";"11415,61149214211";"11840,160521577736";"12160,531113957013";"24572,027065386308";"25234,16931874563";"16236,25079057152"
"174,0";"48,87080998";"2,36102746692";"370,0";"Jacques Bonsergent";"JACQUES BONSERGENT";"5";"653129,4916";"6863610,0193";"8067,322670901897";"8978,735945662067";"8158,383943752976";"9641,944920938844";"8348,505014740103";"11552,185022870359";"9124,512919811043"
"27,0";"48,85250409060001";"2,2681767494400003";"372,0";"Jasmin";"JASMIN";"9";"646299,9369";"6861633,6924";"8458,700812545429";"8468,396646535697";"8461,54361417579";"8958,468042435388";"9657,953287853461";"10445,435243425702";"9075,08294116191"
"91,0";"48,8814985959";"2,3702621266599997";"373,0";"Jaurès";"JAURES";"2";"653816,3452";"6864793,0814";"6727,265368719343";"6714,420416230231";"7532,374270227761";"7473,295887813441";"7819,295326822614";"8121,260859128069";"7397,985354823577"
"337,0";"48,883147451400006";"2,3710014407499997";"374,0";"Jaurès";"JAURES";"5";"653872,0243";"6864975,9922";"6500,253770745511";"6509,146921215277";"7583,705231429319";"7189,269365961328";"6937,846478879985";"7790,5039456388895";"7085,120952311719"
"92,0";"48,8824652456";"2,3701579617400004";"375,0";"Jaurès";"JAURES";"7b";"653809,5635";"6864900,628";"6618,590333714117";"6572,281011970995";"7425,628648785034";"7225,7104213638595";"7068,89645189484";"7964,150074293533";"7145,876157003729"
"28,0";"48,8461236669";"2,27771173983";"377,0";"Javel-André CitroÃ«n";"JAVEL";"10";"646993,0906";"6860917,8132";"3582,1515942809774";"7603,596515131609";"7999,373367609805";"7727,7154888606165";"8814,14913987543";"9376,70061747423";"7517,281120538777"
"93,0";"48,875111817";"2,38941503204";"379,0";"Jourdain";"JOURDAIN";"11";"655215,4591";"6864071,8789";"8266,277422910192";"5724,631079913995";"6730,487313022273";"7816,793474126969";"7871,73464662934";"8215,49336387348";"7437,5695500793745"
"94,0";"48,892439590500004";"2,3446570041299997";"382,0";"Jules Joffrin";"JULES JOFFRIN";"12";"651948,6586";"6866024,9374";"6876,5646901204545";"6726,6047157539715";"7122,626910029308";"7904,437902992458";"8428,601894185922";"8962,997442809017";"7670,305592648522"
"255,0";"48,84615112310001";"2,3549179837";"383,0";"Jussieu";"JUSSIEU";"10";"652658,953";"6860871,807999999";"13539,746200896616";"11382,414280327594";"10419,06190209163";"10933,241924770236";"12181,773805185006";"11377,436793300867";"11638,945817761989"
"175,0";"48,8459506666";"2,35505026306";"384,0";"Jussieu";"JUSSIEU";"7";"652668,4784";"6860849,4399";"13578,961750232693";"11382,414959202735";"10322,012390440268";"10866,787760462441";"11944,496466576857";"11140,676695108912";"11539,225003670652"
"29,0";"48,871649769099996";"2,29352429034";"389,0";"Kléber";"KLEBER";"6";"648178,897";"6863745,5821";"16185,835861248932";"11259,781303898493";"12208,174058967967";"9751,209678811494";"28981,044194037255";"14695,444312528254";"15513,581568248732"
"176,0";"48,884398795200006";"2,36049131853";"409,0";"La Chapelle";"LA CHAPELLE";"2";"653102,402";"6865121,3253";"6122,994912491023";"6097,719069918123";"7156,971394655407";"6364,764925907617";"7259,17018164916";"8096,060187908846";"6849,613445421695"
"182,0";"48,887183946899995";"2,3257796748099997";"416,0";"La Fourche";"LA FOURCHE";"13";"650559,5701";"6865452,1927";"7866,409410676294";"7295,525105885827";"7659,334294680066";"8370,384705985423";"8924,848618309996";"9037,922101212316";"8192,40403945832"
"185,0";"48,8896740712";"2,3387606491999997";"419,0";"Lamarck-Caulaincourt";"LAMARCK-CAULAINCOURT";"12";"651513,7584";"6865721,0309";"7846,066312602026";"7883,938567781748";"8007,687513926123";"9364,804382680932";"9339,195835886969";"10022,65985238154";"8744,05874420989"
"101,0";"48,8493505536";"2,29830140173";"420,0";"La Motte Picquet-Grenelle";"LA MOTTE-PICQUET-GRENELLE";"10";"648507,262";"6861262,9852";"9087,767919066537";"8666,61137506352";"9042,889771788141";"9854,291441878935";"10123,740462654212";"11286,938961487554";"9677,039988656483"
"183,0";"48,8487416657";"2,2989309117500003";"421,0";"La Motte Picquet-Grenelle";"LA MOTTE-PICQUET-GRENELLE";"6";"648552,855";"6861194,8727";"8942,391404794802";"8614,434227125075";"9071,665114385813";"9670,316892556044";"9972,540291346497";"11285,751322526594";"9592,849875455804"
"342,0";"48,8493505536";"2,29830140173";"422,0";"La Motte Picquet-Grenelle";"LA MOTTE-PICQUET-GRENELLE";"8";"648507,262";"6861262,9852";"9087,767919066537";"8666,61137506352";"9042,889771788141";"9854,291441878935";"10123,740462654212";"11286,938961487554";"9677,039988656483"
"184,0";"48,858046056300005";"2,2741546310900005";"423,0";"La Muette";"LA MUETTE";"9";"646744,2368";"6862245,8558";"8972,86397882805";"8845,098907094894";"9408,253719130375";"9489,516094166354";"9599,209923745602";"10833,350214956108";"9524,715472986898"
"262,0";"48,8577254129";"2,31056596095";"425,0";"La Tour Maubourg";"LA TOUR MAUBOURG";"8";"649415,3796";"6862186,2617";"10391,99642891084";"10188,756646588048";"10984,40571686717";"12654,524385701676";"15159,077211668699";"13458,262038283014";"12139,503738003239"
"186,0";"48,8852161821";"2,37966307748";"426,0";"Laumière";"LAUMIERE";"5";"654509,0245";"6865200,9983";"6488,672122371854";"6021,7999731792515";"6080,5801081869295";"7122,814930681048";"6467,555005071416";"8156,354357539899";"6722,962749505066"
"264,0";"48,8512711264";"2,3761187733400004";"441,0";"Ledru Rollin";"LEDRU-ROLLIN";"8";"654219,2941";"6861428,6032";"8351,193257741154";"8435,152995494302";"8689,065897929497";"9549,507051496486";"10477,300345115758";"9581,417957938533";"9180,60625095262"
"263,0";"48,8748743434";"2,34019988439";"443,0";"Le Peletier";"LE PELETIER";"7";"651605,5387";"6864074,5114";"23567,991736282343";"9175,349757934297";"9940,680610129724";"9288,460496758558";"11738,179391775613";"17442,988605613893";"13525,608433082407"
"343,0";"48,8358634842";"2,35258892564";"459,0";"Les Gobelins";"LES GOBELINS";"7";"652478,6539";"6859729,3272";"8178,113445831223";"8330,514754798956";"8661,124660051873";"9127,100705544171";"9437,878661685165";"10459,963732613638";"9032,449326754171"
"344,0";"48,8623162787";"2,34567382822";"460,0";"Les Halles";"LES HALLES";"4";"651995,4564";"6862674,8091";"9203,388177966344";"9852,072688769531";"9536,776828164308";"10492,154876497763";"11760,74955365772";"11899,601353709502";"10457,457246460863"
"102,0";"48,8796347607";"2,32702220089";"467,0";"Liège";"LIEGE";"13";"650643,5277";"6864611,9937";"23702,000831254176";"8356,638258454814";"10910,072325198107";"11802,10311990249";"10202,497685356797";"10183,415518697697";"12526,12128981068"
"34,0";"48,88128581189999";"2,36554431917";"476,0";"Louis Blanc";"LOUIS BLANC";"7";"653470,1684";"6864772,1908";"6536,022553058675";"6916,436686024819";"7427,084460316761";"7304,470717605448";"8083,230336939095";"8290,163093016186";"7426,234641160164"
"103,0";"48,881404732200004";"2,36521878185";"477,0";"Louis Blanc";"LOUIS BLANC";"7b";"653446,4009";"6864785,6059";"6511,334249121366";"6898,433772098836";"7452,029013011247";"7277,790609822381";"8057,599245142101";"8270,9442380095";"7411,355187867572"
"189,0";"48,8887060198";"2,2880836330500003";"478,0";"Louise Michel";"LOUISE MICHEL";"3";"647796,9264";"6865645,6998";"7422,389876400973";"7173,321215633971";"7963,429597904142";"8399,037688652812";"8792,972908385225";"9732,827499647696";"8247,329797770804"
"190,0";"48,838960939399996";"2,28270002724";"479,0";"Lourmel";"LOURMEL";"8";"647351,9234";"6860118,0595";"5725,368168094126";"7850,254764079591";"8001,229993927551";"10243,909931540526";"7988,215838703868";"8212,107440534068";"8003,514356146621"
"265,0";"48,8608062913";"2,34110859163";"481,0";"Louvre-Rivoli";"LOUVRE-RIVOLI";"1";"651659,1352";"6862509,6962";"9347,764683782018";"10360,071724014913";"10856,598703240177";"12850,267545431374";"12628,260398212804";"12123,460263978019";"11361,070553109885"
"104,0";"48,8530167679";"2,3355020530900004";"486,0";"Mabillon";"MABILLON";"10";"651240,5212";"6861647,0174";"12794,345755709111";"12168,17814652303";"11616,82273134166";"14535,300310754501";"13965,392191941963";"14876,774538921361";"13326,135612531938"
"191,0";"48,8700997328";"2,32516410954";"487,0";"Madeleine";"MADELEINE";"12";"650498,1966";"6863552,9304";"11873,190709614064";"35045,04726716601";"8998,045902440223";"13081,073539142742";"24245,191793855443";"22756,94409168023";"19333,248883983117"
"346,0";"48,8706670209";"2,32575263529";"488,0";"Madeleine";"MADELEINE";"14";"650541,9048";"6863615,6397";"12780,607899467288";"34907,52259733254";"8972,97225415352";"13014,930524668269";"24588,912190050352";"22623,86860349965";"19481,469011528603"
"347,0";"48,869633173000004";"2,32627227403";"489,0";"Madeleine";"MADELEINE";"8";"650579,0401";"6863500,3584";"12239,419491888106";"38519,057988686975";"9043,21459941777";"12749,86253359978";"23232,71580860532";"25572,273251606897";"20226,090612300806"
"270,0";"48,8224378346";"2,35847388385";"497,0";"Maison Blanche";"MAISON BLANCHE";"7";"652898,4845";"6858233,0223";"6543,18355611262";"6893,508136379864";"5655,707389819056";"7322,012950325866";"7549,186431992211";"8372,560453740882";"7056,026486395082"
"338,0";"48,8828919175";"2,30905226455";"506,0";"Malesherbes";"MALESHERBES";"3";"649328,8075";"6864985,5498";"8442,612414304958";"8142,66177738788";"8093,876609031864";"9924,159114828599";"11134,013202018816";"14180,294162276758";"9986,269546641479"
"257,0";"48,852725119300004";"2,4060891618799998";"509,0";"MaraÃ®chers";"MARAICHERS";"9";"656419,7092";"6861573,3159";"5561,806587628631";"6205,672156331447";"4207,748295153165";"7559,63471014246";"7092,522219683998";"8149,536154461006";"6462,8200205667845"
"98,0";"48,891465000299995";"2,34981545185";"510,0";"Marcadet-Poissonniers";"MARCADET-POISSONNIERS";"12";"652325,9876";"6865913,4413";"6557,055169658399";"6253,061709110648";"6765,60783891883";"7314,375939249581";"8090,957155857737";"8628,262329064522";"7268,220023643286"
"31,0";"48,8914168342";"2,3497384070200003";"511,0";"Marcadet-Poissonniers";"MARCADET-POISSONNIERS";"4";"652320,2944";"6865908,132";"6561,547283595815";"6252,8012138037675";"6785,968301761735";"7319,281255873312";"8100,795296165416";"8639,826360838153";"7276,7032853397"
"178,0";"48,890485453800004";"2,3599957664099995";"519,0";"Marx Dormoy";"MARX DORMOY";"12";"653071,5478";"6865798,4225";"5794,715144230985";"5561,987451366299";"6145,360469135013";"6325,784569165086";"6418,6018086530785";"7653,507029034829";"6316,659411930882"
"179,0";"48,8501273238";"2,34805429048";"525,0";"Maubert-Mutualité";"MAUBERT-MUTUALITE";"10";"652158,9045";"6861318,0602";"11324,172470461735";"10664,662323083585";"10588,963998737143";"12424,078981239223";"13252,784055987615";"14294,942695861966";"12091,600754228544"
"180,0";"48,8668000351";"2,3833832504599997";"533,0";"Ménilmontant";"MENILMONTANT";"2";"654765,838";"6863151,1043";"5414,202962751877";"4906,530696740236";"7164,773926568916";"7984,235438211267";"7968,462027972566";"8653,599147385836";"7015,30069993845"
"181,0";"48,847934807899996";"2,26421877705";"542,0";"Michel Ange-Auteuil";"MICHEL-ANGE-AUTEUIL";"10";"646004,7811";"6861128,3349";"8132,056544298296";"8356,784127250583";"7906,262202190448";"9405,2099833881";"9421,139165667975";"10135,03651089493";"8892,74808894839"
"258,0";"48,8478956502";"2,26408203075";"543,0";"Michel Ange-Auteuil";"MICHEL-ANGE-AUTEUIL";"9";"645994,7057";"6861124,0745";"8108,526986444571";"8344,366739907464";"7865,605849906085";"9459,77237852823";"9396,974112674363";"10082,580876385124";"8876,304490640972"
