Latitude;Longitude;gares_id;nom_gare;nomlong;ligne;x;y
48.8456269667;2.3095314901;800;Sèvres-Lecourbe;SEVRES-LECOURBE;6;649327.7178;6860841.6954
48.8692241717;2.3546037907;837;Strasbourg-Saint-Denis;STRASBOURG-SAINT-DENIS;8;652656.8653;6863437.5212
48.8512376804;2.361985141;842;Sully-Morland;SULLY-MORLAND;7;653182.1536;6861433.1715
48.8754744567;2.3988675939;848;Télégraphe;TELEGRAPHE;11;655909.0691;6864106.8825
48.8885036879;2.39211369776;694;Porte de Pantin;PORTE DE PANTIN;5;655424.858;6865559.4508
48.8347851581;2.40538321063;705;Porte Dorée;PORTE DOREE;8;656352.887;6859578.9511
48.8598736244;2.37191398009;736;Richard Lenoir;RICHARD LENOIR;5;653918.3594;6862387.573
48.8799957944;2.39894666246;709;Pré Saint-Gervais;PRE SAINT-GERVAIS;7b;655918.6953;6864609.5836
48.8484578485;2.32778212715;728;Rennes;RENNES;12;650669.7472;6861144.9041
48.8670267876;2.36424799375;730;République;REPUBLIQUE;3;653362.3346;6863187.4493
48.8673844729;2.36426495043;731;République;REPUBLIQUE;5;653363.8987;6863227.2112
48.9365268526;2.35939826103;761;Basilique de Saint-Denis;BASILIQUE DE SAINT-DENIS;13;653069.272;6870918.4484
48.8721014421;2.40451494238;764;Saint-Fargeau;SAINT-FARGEAU;M3bis;656320.4457;6863728.6864
48.8784252576;2.33759508282;766;Saint-Georges;SAINT-GEORGES;12;651417.8007;6864470.9482
48.8395165854;2.30110751488;877;Vaugirard (Adolphe Chériou);VAUGIRARD (ADOLPHE CHERIOU);12;648703.4994;6860167.7255
48.8046881209;2.3639531966;896;Villejuif-Léo Lagrange;VILLEJUIF-LEO LAGRANGE;7;653284.8753;6856256.2281
48.8701642009;2.35049797186;91;Bonne Nouvelle;BONNE NOUVELLE;9;652356.5489;6863544.515
48.8407450152;2.2285369815;100;Boulogne-Pont de Saint-Cloud;BOULOGNE-PONT DE SAINT CLOUD;10;643378.5475;6860353.9039
48.8561407093;2.37020933841;107;Bréguet-Sabin;BREGUET-SABIN;5;653789.9847;6861973.5003
48.9063747703;2.44918990449;79;Bobigny-Pablo Picasso;BOBIGNY-PABLO PICASSO;5;659623.938;6867515.9438
48.895454673;2.4253268888;80;Bobigny-Pantin (Raymond Queneau);BOBIGNY-PANTIN (RAYMOND QUENEAU);5;657865.8989;6866314.133
48.8281884763;2.32716464961;10;Alésia;ALESIA;4;650605.2307;6858891.5557
48.8828686476;2.34413063372;21;Anvers;ANVERS;2;651901.2249;6864961.0235
48.8653227117;2.35672986917;27;Arts et Métiers;ARTS ET METIERS;11;652809.2865;6863002.4359
48.8655864776;2.35673675681;28;Arts et Métiers;ARTS ET METIERS;3;652810.0307;6863031.7605
48.8838039424;2.35061300069;49;Barbès-Rochechouart;BARBES-ROCHECHOUART;2;652377.4597;6865061.0935
48.8718487938;2.37659368274;60;Belleville;BELLEVILLE;11;654272.2071;6863716.4009
48.8454707076;2.42920516635;65;Bérault;BERAULT;1;658110.066;6860754.1783
48.7899783103;2.45045317792;226;Créteil-Université;CRETEIL-UNIVERSITE;8;659626.4637;6854573.0018
48.8907889695;2.3773157556;227;Crimée;CRIMEE;7;654341.7793;6865822.0177
48.8334508582;2.33174013099;236;Denfert-Rochereau;DENFERT-ROCHEREAU;4;650946.0738;6859473.8194
48.8469891061;2.31700523574;246;Duroc;DUROC;10;649877.4993;6860988.3813
48.8546821569;2.3060974037;248;École Militaire;ECOLE MILITAIRE;8;649084.5508;6861850.7519
48.851812133;2.40102227052;121;Buzenval;BUZENVAL;9;656047.1453;6861474.6081
48.8475070811;2.30296829919;123;Cambronne;CAMBRONNE;6;648847.9145;6861054.9765
48.8452047036;2.26644154308;149;Chardon Lagache;CHARDON-LAGACHE;10;646165.0737;6860823.2591
48.8465346367;2.28599922342;155;Charles Michels;CHARLES MICHELS;10;647601.6846;6860957.9773
48.8587991981;2.34730585275;166;Châtelet;CHATELET;1;652111.9543;6862282.7483
48.8510502823;2.34427334542;192;Cluny-la Sorbonne;CLUNY-LA-SORBONNE;10;651882.3097;6861422.9819
48.8753549577;2.32481828506;770;Saint-Lazare;SAINT-LAZARE;13;650477.8263;6864137.4892
48.8750063981;2.32457481029;771;Saint-Lazare;SAINT-LAZARE;3;650459.6372;6864098.8846
48.8720238095;2.30056045125;329;George-V;GEORGE V;1;648695.3653;6863782.5778
48.8912285932;2.40235214254;348;Hoche;HOCHE;5;656177.9025;6865856.7161
48.8787703685;2.32226521312;275;Europe;EUROPE;3;650293.8318;6864518.8631
48.8444701413;2.31785278304;280;Falguière;FALGUIERE;12;649937.2765;6860707.7605
48.8814985959;2.37026212666;373;Jaurès;JAURES;2;653816.3452;6864793.0814
48.8824652456;2.37015796174;375;Jaurès;JAURES;7b;653809.5635;6864900.628
48.875111817;2.38941503204;379;Jourdain;JOURDAIN;11;655215.4591;6864071.8789
48.8924395905;2.34465700413;382;Jules Joffrin;JULES JOFFRIN;12;651948.6586;6866024.9374
48.8437813048;2.3243970124;564;Montparnasse-BienvenÃ¼e;MONTPARNASSE;4;650416.8898;6860627.0398
48.8421022072;2.32127856274;565;Montparnasse-BienvenÃ¼e;MONTPARNASSE;6;650186.4248;6860442.3044
48.8225837068;2.29846419197;504;Malakoff-Plateau de Vanves;MALAKOFF-PLATEAU DE VANVES;13;648492.7655;6858286.7117
48.8914650003;2.34981545185;510;Marcadet-Poissonniers;MARCADET-POISSONNIERS;12;652325.9876;6865913.4413
48.8737095277;2.31460632162;549;Miromesnil;MIROMESNIL;9;649727.2457;6863960.9825
48.8444086721;2.39007511282;555;Montgallet;MONTGALLET;8;655237.5024;6860657.5602
48.8493505536;2.29830140173;420;La Motte Picquet-Grenelle;LA MOTTE-PICQUET-GRENELLE;10;648507.262;6861262.9852
48.8796347607;2.32702220089;467;Liège;LIEGE;13;650643.5277;6864611.9937
48.8814047322;2.36521878185;477;Louis Blanc;LOUIS BLANC;7b;653446.4009;6864785.6059
48.8530167679;2.33550205309;486;Mabillon;MABILLON;10;651240.5212;6861647.0174
48.84267682;2.31281277347;629;Pasteur;PASTEUR;6;649565.6646;6860511.5692
48.8428668307;2.35222472818;655;Place Monge (Jardin des Plantes);PLACE MONGE (JARDIN DES PLANTES);7;652458.3099;6860508.2454
48.8647276207;2.36849638711;603;Oberkampf;OBERKAMPF;9;653671.9381;6862929.2986
48.8704867033;2.33240740643;607;Opéra;OPERA;7;651029.8713;6863591.4421
48.8318256496;2.31412232347;656;Plaisance;PLAISANCE;13;649651.2929;6859304.204
48.8646003734;2.40803103708;684;Porte de Bagnolet;PORTE DE BAGNOLET;3;656572.0977;6862892.6803
48.8552362528;2.36095648866;777;Saint-Paul (le Marais);SAINT-PAUL (LE MARAIS);1;653110.2705;6861878.3873
48.846878238;2.32679278504;779;Saint-Placide;SAINT-PLACIDE;4;650595.6493;6860969.8856
48.867309475;2.34751621328;792;Sentier;SENTIER;3;652135.2075;6863228.8943
48.8511923493;2.32648847397;798;Sèvres-Babylone;SEVRES-BABYLONE;10;650577.4091;6861449.763
48.893941388;2.34776550172;802;Simplon;SIMPLON;4;652177.9554;6866190.0425
48.8666826802;2.36154153207;849;Temple;TEMPLE;3;653163.4882;6863150.7891
48.8379612135;2.25712222985;695;Porte de Saint-Cloud;PORTE DE SAINT-CLOUD;9;645473.5838;6860024.2597
48.8324490991;2.2880221411;701;Porte de Versailles;PORTE DE VERSAILLES;12;647736.0144;6859390.483
48.8771105118;2.40672924554;698;Porte des Lilas;PORTE DES LILAS;M3bis;656487.0493;6864284.4407
48.8659067396;2.33418954197;714;Pyramides;PYRAMIDES;14;651156.2996;6863081.082
48.8659809205;2.33433072438;715;Pyramides;PYRAMIDES;7;651166.726;6863089.243
48.8738818542;2.3853162151;716;Pyrénées;PYRENEES;11;654913.7648;6863937.4476
48.8465154042;2.36587346941;718;Quai de la Rapée;QUAI DE LA RAPEE;5;653463.2581;6860905.8001
48.8671587253;2.3639578365;732;République;REPUBLIQUE;8;653341.1678;6863202.2912
48.8717866021;2.33903054672;737;Richelieu-Drouot;RICHELIEU-DROUOT;8;651516.8991;6863731.8941
48.8721523526;2.33911503927;738;Richelieu-Drouot;RICHELIEU-DROUOT;9;651523.437;6863772.511
48.8610192599;2.37473343128;758;Saint-Ambroise;SAINT-AMBROISE;9;654126.2223;6862513.3167
48.8514417056;2.3144081215;765;Saint-François-Xavier;SAINT-FRANCOIS-XAVIER;13;649691.21;6861485.1179
48.8640865748;2.38079798618;774;Saint-Maur;SAINT-MAUR;3;654573.8244;6862850.872
48.8488163725;2.32125786291;871;Vaneau;VANEAU;10;650191.3229;6861188.8641
48.827270836;2.36803264776;1006;Olympiades;OLYMPIADES;14;653604.5847;6858764.7361
48.9307570033;2.28417444828;1008;Les Courtilles-Asnières-Gennevilliers;LES COURTILLES-ASNIERES-GENNEVILLIERS;13;647552.6733;6870324.1848
48.8630650202;2.28624317069;863;Trocadéro;TROCADERO;9;647636.2013;6862795.8336
48.8697985565;2.28533509469;892;Victor Hugo;VICTOR HUGO;2;647576.3599;6863545.1478
48.7875627921;2.36780410698;897;Villejuif-Louis Aragon;VILLEJUIF-LOUIS ARAGON;7;653552.4584;6854349.8692
48.906567146;2.3659203194;1073;Front Populaire;FRONT POPULAIRE;12;653520.3175;6867583.1321
48.8186764099;2.3197403133;1134;Mairie de Montrouge;MAIRIE DE MONTROUGE;4;650051.0907;6857838.6019
48.8942522622;2.31377215877;689;Porte de Clichy;PORTE DE CLICHY;13;649685.9141;6866245.7339
48.8974022229;2.34484774875;690;Porte de Clignancourt;PORTE DE CLIGNANCOURT;4;651967.2227;6866576.6415
48.8701642009;2.35049797186;90;Bonne Nouvelle;BONNE NOUVELLE;8;652356.5489;6863544.515
48.8686959778;2.34072072367;104;Bourse;BOURSE;3;651638.0039;6863387.2034
48.8839585735;2.33192659089;76;Blanche;BLANCHE;2;651007.2769;6865089.7195
48.864766845;2.3009910035;14;Alma-Marceau;ALMA-MARCEAU;9;648719.8026;6862975.3829
48.8755940499;2.28932258961;25;Argentine;ARGENTINE;1;647874.6513;6864186.9211
48.9037599302;2.39228705964;35;Aubervilliers-Pantin (4 Chemins);AUBERVILLIERS-PANTIN (QUATRE CHEMINS);7;655450.6264;6867255.7816
48.8470195819;2.29542047803;43;Avenue Émile Zola;AVENUE EMILE ZOLA;10;648293.5441;6861005.6876
