x;y;Station;prix_moyen_2014;prix_moyen_2015;prix_moyen_2016;prix_moyen_2017;prix_moyen_2018;prix_moyen_2019;prix_moyen_global;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Trafic;nb_lignes
655215.4591;6864071.8789;JOURDAIN;6891.2412547286;5758.39662391466;6742.72508134114;7680.08388759904;8057.10608109473;8588.66204238219;7286.36916184339;11;;;;;3029314;1
651948.6586;6866024.9374;JULES JOFFRIN;6941.18167244992;6817.65724338445;7239.16246891426;8007.30054785375;8540.76330088448;9098.38017096505;7774.07423407532;12;;;;;4034229;1
652663.7157;6860860.62394999;JUSSIEU;13598.3058971075;10048.6844085442;10494.8005141545;11021.1292829832;11497.717728407;11623.1779284228;11380.6359599365;7;10;;;;4328012;2
648178.897;6863745.5821;KLEBER;10706.9460063811;9155.41922567958;10279.4886535433;11231.0643114044;11317.792974072;11868.5329029553;10759.8740123393;6;;;;;1253324;1
653102.402;6865121.3253;LA CHAPELLE;6257.05973306816;6354.48275436116;7428.75917141228;6722.59966228592;7533.33829908189;8396.70146122889;7115.49018023972;2;;;;;6534340;1
650559.5701;6865452.1927;LA FOURCHE;8030.82495400392;7433.59734626652;7794.2339132981;8540.09793719853;9088.37778118699;9441.72360939984;8388.14259022565;13;;;;;2563103;1
648522.459666666;6861240.28103333;LA MOTTE-PICQUET-GRENELLE;8926.07713295499;8834.89005039152;9132.50031346941;9839.54773700097;10277.9516609612;11195.4845041233;9701.07523315024;6;8;10;;;7958383;3
646744.2368;6862245.8558;LA MUETTE;9236.46200586808;8912.66584277363;9666.46267103409;9707.11569967743;10162.0996962021;11091.0990746605;9795.98416503599;9;;;;;3991922;1
649415.3796;6862186.2617;LA TOUR MAUBOURG;10885.4923749455;10646.1477943448;11226.6196114286;11878.1802150807;13381.8156365658;13751.9583126206;11961.7023241643;8;;;;;2139593;1
651513.7584;6865721.0309;LAMARCK-CAULAINCOURT;7972.21004936749;8032.83662416025;8214.12379187481;9259.63687998128;9337.64791390683;10307.5249007073;8853.996693333;12;;;;;2704202;1
654509.0245;6865200.9983;LAUMIERE;6656.36227945901;6109.33834512012;6249.58808848758;7404.66009450647;7526.60049130968;8352.47499167719;7049.83738176001;5;;;;;4325317;1
651605.5387;6864074.5114;LE PELETIER;9075.31872501721;8492.91229427422;8775.24177774153;9519.99797805089;11677.5309524868;14139.6781411792;10280.1133114583;7;;;;;2451509;1
654219.2941;6861428.6032;LEDRU-ROLLIN;8461.91465676966;8621.66718027278;8027.20342870504;9915.1069186679;10045.7236692815;10164.8742610363;9206.08168578889;8;;;;;3777270;1
652478.6539;6859729.3272;LES GOBELINS;8362.56020445165;8489.02115367085;8783.82532021167;9343.64135942587;9738.68350280817;10586.0623267028;9217.29897787852;7;;;;;3377372;1
651995.4564;6862674.8091;LES HALLES;9514.17638328332;10186.648568947;9919.76243530452;10681.9081875799;11251.7167087607;11799.0547534655;10558.8778395568;4;;;;;16069170;1
650643.5277;6864611.9937;LIEGE;9562.30330386704;8364.54436415618;8500.46423846749;10397.2196870731;10497.0828469738;10376.8204775818;9616.40581968659;13;;;;;1662452;1
653458.28465;6864778.89835;LOUIS BLANC;6609.03858452545;6776.20919511548;7546.13879647804;7391.84237755664;8278.60957665084;8374.75281159556;7496.098556987;7;7bis;;;;2272326;2
647796.9264;6865645.6998;LOUISE MICHEL;7517.85690633567;7388.54594054531;7963.42959790414;8719.18710114497;9338.2397361734;9732.82749964769;8443.34779695853;;;;;;;1
647351.9234;6860118.0595;LOURMEL;8018.58269870027;7970.12070909455;8104.15298442126;8489.8932262679;7938.82396024722;8258.83480552544;8130.06806404277;8;;;;;2301922;1
651659.1352;6862509.6962;LOUVRE-RIVOLI;9777.55611633909;10736.0533062165;11235.5407490727;13305.8436421884;13025.9376978169;12002.9079219021;11680.6399055893;1;;;;;2633369;1
651240.5212;6861647.0174;MABILLON;12769.0932089886;12398.1345613197;11799.6670179613;14146.9698344095;15137.602314224;15387.1597155305;13606.4377754056;10;;;;;1859872;1
650539.713833333;6863556.3095;MADELEINE;12807.8109900374;8635.88421495208;10200.8376907482;11666.1009341524;15499.0643839784;13538.3073377101;12058.0009252631;8;12;14;;;8473016;3
650051.0907;6857838.6019;MAIRIE DE MONTROUGE;7454.54545454545;6800.42896383933;7636.84210526315;7196.79688504106;7961.89539534435;8181.81818181818;7538.72116430859;;;;;;;1
652898.4845;6858233.0223;MAISON BLANCHE;6640.79610830488;6918.67601240364;6906.15088259211;7342.94667825463;7574.10895221292;8116.54543388822;7249.87067794273;7;;;;;1803381;1
649328.8075;6864985.5498;MALESHERBES;8636.01592260803;8555.47363287907;8785.59777341726;10055.5677980112;10374.091852;10583.9973993876;9498.45739638389;3;;;;;2406916;1
656419.7092;6861573.3159;MARAICHERS;5585.58462869285;6284.93379573631;6851.5537535735;7518.13810970301;7490.63705713728;8203.27102135961;6989.01972770043;9;;;;;2608017;1
652323.141;6865910.78665;MARCADET-POISSONNIERS;6646.37435631196;6390.16484894366;6895.36893849736;7581.90125259203;8250.83996061713;8727.23826546169;7415.31460373731;4;12;;;;5973655;2
653071.5478;6865798.4225;MARX DORMOY;5923.48345951984;5848.46839376464;6403.25026563283;6533.24412931451;6580.39879453959;7822.93815543339;6518.63053303413;12;;;;;3359946;1
652158.9045;6861318.0602;MAUBERT-MUTUALITE;11500.1177111457;10919.2761030989;11017.5300718326;12652.0163306674;12913.8667335643;14575.2530498384;12263.0100000245;10;;;;;2226690;1
654765.838;6863151.1043;MENILMONTANT;7476.20338507162;7159.52283315729;7340.67642683071;8040.25732610508;8187.78179746757;8839.38803740288;7840.63830100586;2;;;;;3943809;1
656130.969;6859839.9191;MICHEL BIZOT;7215.16258418825;7416.95704017645;7268.89207773513;7792.98761067255;8140.11876188951;8076.80353610601;7651.82026846132;8;;;;;1906545;1
645999.7434;6861126.2047;MICHEL-ANGE-AUTEUIL;8404.27242489532;8542.8398828942;7930.33324853333;9532.4844329183;9772.30665596237;10541.3220662807;9120.59311858071;9;10;;;;2042174;2
645815.90255;6860820.74955;MICHEL-ANGE-MOLITOR;7819.17994477416;7879.3167936667;7626.88963497467;9260.3842777616;9362.64102858071;10199.742538536;8691.35903638231;9;10;;;;2247014;2
646631.0122;6861033.1517;MIRABEAU;8090.41949355888;8003.73017177737;8156.18873457779;8702.77721587015;9374.6089836173;10050.3459056725;8729.67841751234;10;;;;;1377611;1
649721.7634;6863964.39175;MIROMESNIL;11884.4095784457;9471.91691055122;9611.0729844282;12807.7514526868;11101.7474242101;13337.0152867839;11368.9856061843;9;13;;;;5908201;2
649355.6855;6864713.7086;MONCEAU;9408.28557174177;8945.44842640501;9136.50560656089;10111.9157686116;10909.5521705747;11078.6635603213;9931.72851736922;2;;;;;1672269;1
655237.5024;6860657.5602;MONTGALLET;7700.53016677089;7644.26397042125;7641.37486910103;8289.99917311856;8336.09163834533;8012.73354361048;7937.49889356125;8;;;;;1596702;1
