name,annee,value,category,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Trafic,nb_lignes,date
 VANEAU , 2014 , 10862 , 10 ,  ,  ,  ,  , 1028480 , 1 , 2014-01-01 
 VARENNE , 2014 , 11079 , 13 ,  ,  ,  ,  , 1241311 , 1 , 2014-01-01 
 VAUGIRARD  (ADOLPHE  CHERIOU) , 2014 , 8268 , 12 ,  ,  ,  ,  , 3445009 , 1 , 2014-01-01 
 VAVIN , 2014 , 9978 , 4 ,  ,  ,  ,  , 2021987 , 1 , 2014-01-01 
 VICTOR  HUGO , 2014 , 9798 , 2 ,  ,  ,  ,  , 3841033 , 1 , 2014-01-01 
 VILLIERS , 2014 , 8727 , 2 , 3 ,  ,  ,  , 5667552 , 2 , 2014-01-01 
 VOLONTAIRES , 2014 , 8254 , 12 ,  ,  ,  ,  , 2362771 , 1 , 2014-01-01 
 VOLTAIRE  (LEON  BLUM) , 2014 , 7738 , 9 ,  ,  ,  ,  , 4975145 , 1 , 2014-01-01 
 WAGRAM , 2014 , 8756 , 3 ,  ,  ,  ,  , 2386255 , 1 , 2014-01-01 
 ABBESSES , 2015 , 8396 , 12 ,  ,  ,  ,  , 2349588 , 1 , 2015-01-01 
 ALESIA , 2015 , 7621 , 4 ,  ,  ,  ,  , 4764374 , 1 , 2015-01-01 
 ALEXANDRE  DUMAS , 2015 , 7079 , 2 ,  ,  ,  ,  , 3439879 , 1 , 2015-01-01 
 ALMA-MARCEAU , 2015 , 12446 , 9 ,  ,  ,  ,  , 4382709 , 1 , 2015-01-01 
 ANVERS , 2015 , 8098 , 2 ,  ,  ,  ,  , 5643147 , 1 , 2015-01-01 
 ARGENTINE , 2015 , 9074 , 1 ,  ,  ,  ,  , 3026210 , 1 , 2015-01-01 
 ARTS  ET  METIERS , 2015 , 9152 , 3 , 11 ,  ,  ,  , 4011632 , 2 , 2015-01-01 
 ASSEMBLEE  NATIONALE , 2015 , 13421 , 12 ,  ,  ,  ,  , 1063551 , 1 , 2015-01-01 
 AUSTERLITZ , 2015 , 8312 , 5 , 10 ,  ,  ,  , 9887549 , 2 , 2015-01-01 
 AVENUE  EMILE  ZOLA , 2015 , 8544 , 10 ,  ,  ,  ,  , 1479759 , 1 , 2015-01-01 
 AVRON , 2015 , 7235 , 2 ,  ,  ,  ,  , 1871024 , 1 , 2015-01-01 
 BALARD , 2015 , 7514 , 8 ,  ,  ,  ,  , 5626040 , 1 , 2015-01-01 
 BARBES-ROCHECHOUART , 2015 , 7016 , 2 , 4 ,  ,  ,  , 7974496 , 2 , 2015-01-01 
 BASTILLE , 2015 , 8887 , 1 , 5 , 8 ,  ,  , 13151192 , 3 , 2015-01-01 
 BEL-AIR , 2015 , 7308 , 6 ,  ,  ,  ,  , 2247926 , 1 , 2015-01-01 
 BELLEVILLE , 2015 , 6814 , 2 , 11 ,  ,  ,  , 10735544 , 2 , 2015-01-01 
 BERCY , 2015 , 7315 , 6 , 14 ,  ,  ,  , 6311543 , 2 , 2015-01-01 
 BIBLIOTHEQUE  FRANCOIS  MITTERRAND , 2015 , 6809 , 14 ,  ,  ,  ,  , 19754334 , 1 , 2015-01-01 
 BIR-HAKEIM  (GRENELLE) , 2015 , 8523 , 6 ,  ,  ,  ,  , 6903648 , 1 , 2015-01-01 
 BLANCHE , 2015 , 8064 , 2 ,  ,  ,  ,  , 3893362 , 1 , 2015-01-01 
 BOISSIERE , 2015 , 9108 , 6 ,  ,  ,  ,  , 1919511 , 1 , 2015-01-01 
 BOLIVAR , 2015 , 6899 , 7bis ,  ,  ,  ,  , 546780 , 1 , 2015-01-01 
 BONNE  NOUVELLE , 2015 , 8640 , 8 , 9 ,  ,  ,  , 4583027 , 2 , 2015-01-01 
 BOTZARIS , 2015 , 6257 , 7bis ,  ,  ,  ,  , 993450 , 1 , 2015-01-01 
 BOUCICAUT , 2015 , 8170 , 8 ,  ,  ,  ,  , 3152108 , 1 , 2015-01-01 
 BOURSE , 2015 , 10659 , 3 ,  ,  ,  ,  , 3386481 , 1 , 2015-01-01 
 BREGUET-SABIN , 2015 , 8768 , 5 ,  ,  ,  ,  , 1791352 , 1 , 2015-01-01 
 BROCHANT , 2015 , 7309 , 13 ,  ,  ,  ,  , 2984525 , 1 , 2015-01-01 
 BUTTES-CHAUMONT , 2015 , 6234 , 7bis ,  ,  ,  ,  , 545750 , 1 , 2015-01-01 
 BUZENVAL , 2015 , 6889 , 9 ,  ,  ,  ,  , 1941769 , 1 , 2015-01-01 
 CADET , 2015 , 8304 , 7 ,  ,  ,  ,  , 3042484 , 1 , 2015-01-01 
 CAMBRONNE , 2015 , 8869 , 6 ,  ,  ,  ,  , 2524418 , 1 , 2015-01-01 
 CAMPO-FORMIO , 2015 , 8341 , 5 ,  ,  ,  ,  , 1335450 , 1 , 2015-01-01 
 CARDINAL-LEMOINE , 2015 , 10235 , 10 ,  ,  ,  ,  , 1663781 , 1 , 2015-01-01 
 CENSIER-DAUBENTON , 2015 , 9346 , 7 ,  ,  ,  ,  , 3385284 , 1 , 2015-01-01 
 CHAMPS-ELYSEES-CLEMENCEAU , 2015 , 13091 , 1 , 13 ,  ,  ,  , 4006171 , 2 , 2015-01-01 
 CHARDON-LAGACHE , 2015 , 7842 , 10 ,  ,  ,  ,  , 692665 , 1 , 2015-01-01 
 CHARLES  DE  GAULLE  ETOILE , 2015 , 10521 , 1 , 2 , 6 ,  ,  , 7296559 , 3 , 2015-01-01 
 CHARLES  MICHELS , 2015 , 8370 , 10 ,  ,  ,  ,  , 4601730 , 1 , 2015-01-01 
 CHARONNE , 2015 , 7538 , 9 ,  ,  ,  ,  , 3652338 , 1 , 2015-01-01 
 CHATEAU  D'EAU , 2015 , 7886 , 4 ,  ,  ,  ,  , 3878260 , 1 , 2015-01-01 
 CHATEAU  ROUGE , 2015 , 6501 , 4 ,  ,  ,  ,  , 7306788 , 1 , 2015-01-01 
 CHATEAU-LANDON , 2015 , 7123 , 7 ,  ,  ,  ,  , 1759434 , 1 , 2015-01-01 
 CHATELET , 2015 , 10257 , 1 , 4 , 7 , 11 , 14 , 10766712 , 5 , 2015-01-01 
 CHAUSSEE  D'ANTIN  (LA  FAYETTE) , 2015 , 9152 , 7 , 9 ,  ,  ,  , 7312371 , 2 , 2015-01-01 
 CHEMIN  VERT , 2015 , 8939 , 8 ,  ,  ,  ,  , 1527533 , 1 , 2015-01-01 
 CHEVALERET , 2015 , 6983 , 6 ,  ,  ,  ,  , 3426306 , 1 , 2015-01-01 
 CITE , 2015 , 11192 , 4 ,  ,  ,  ,  , 1740572 , 1 , 2015-01-01 
 CLUNY-LA-SORBONNE , 2015 , 11085 , 10 ,  ,  ,  ,  , 2232036 , 1 , 2015-01-01 
 COLONEL  FABIEN , 2015 , 7142 , 2 ,  ,  ,  ,  , 4511921 , 1 , 2015-01-01 
 COMMERCE , 2015 , 8393 , 8 ,  ,  ,  ,  , 2864592 , 1 , 2015-01-01 
 CONCORDE , 2015 , 10913 , 1 , 8 , 12 ,  ,  , 6115023 , 3 , 2015-01-01 
 CONVENTION , 2015 , 7449 , 12 ,  ,  ,  ,  , 5275717 , 1 , 2015-01-01 
 CORENTIN  CARIOU , 2015 , 5861 , 7 ,  ,  ,  ,  , 2766678 , 1 , 2015-01-01 
 CORVISART , 2015 , 7495 , 6 ,  ,  ,  ,  , 2512122 , 1 , 2015-01-01 
 COUR  SAINT-EMILION , 2015 , 7206 , 14 ,  ,  ,  ,  , 6043808 , 1 , 2015-01-01 
 COURCELLES , 2015 , 10405 , 2 ,  ,  ,  ,  , 2557929 , 1 , 2015-01-01 
 COURONNES , 2015 , 6991 , 2 ,  ,  ,  ,  , 2897777 , 1 , 2015-01-01 
 CRIMEE , 2015 , 5769 , 7 ,  ,  ,  ,  , 5431969 , 1 , 2015-01-01 
 DANUBE , 2015 , 5638 , 7bis ,  ,  ,  ,  , 547896 , 1 , 2015-01-01 
 DAUMESNIL , 2015 , 7259 , 6 , 8 ,  ,  ,  , 4954004 , 2 , 2015-01-01 
 DENFERT-ROCHEREAU , 2015 , 8598 , 4 , 6 ,  ,  ,  , 3911586 , 2 , 2015-01-01 
 DUGOMMIER , 2015 , 7204 , 6 ,  ,  ,  ,  , 2579556 , 1 , 2015-01-01 
 DUPLEIX , 2015 , 8620 , 6 ,  ,  ,  ,  , 3221871 , 1 , 2015-01-01 
 DUROC , 2015 , 9917 , 10 , 13 ,  ,  ,  , 3596220 , 2 , 2015-01-01 
 ECOLE  MILITAIRE , 2015 , 10543 , 8 ,  ,  ,  ,  , 4468169 , 1 , 2015-01-01 
 EDGAR  QUINET , 2015 , 9383 , 6 ,  ,  ,  ,  , 2142333 , 1 , 2015-01-01 
 EGLISE  D'AUTEUIL , 2015 , 8162 , 10 ,  ,  ,  ,  , 169939 , 1 , 2015-01-01 
 ETIENNE-MARCEL , 2015 , 10039 , 4 ,  ,  ,  ,  , 2676549 , 1 , 2015-01-01 
 EUROPE , 2015 , 8285 , 3 ,  ,  ,  ,  , 1618088 , 1 , 2015-01-01 
 EXELMANS , 2015 , 7618 , 9 ,  ,  ,  ,  , 2102492 , 1 , 2015-01-01 
 FAIDHERBE-CHALIGNY , 2015 , 8082 , 8 ,  ,  ,  ,  , 3032239 , 1 , 2015-01-01 
 FALGUIERE , 2015 , 9643 , 12 ,  ,  ,  ,  , 881763 , 1 , 2015-01-01 
 FELIX  FAURE , 2015 , 8280 , 8 ,  ,  ,  ,  , 1744774 , 1 , 2015-01-01 
 FILLES  DU  CALVAIRE , 2015 , 8711 , 8 ,  ,  ,  ,  , 1606192 , 1 , 2015-01-01 
 FRANKLIN-D.ROOSEVELT , 2015 , 12929 , 1 , 9 ,  ,  ,  , 9545487 , 2 , 2015-01-01 
 GAITE , 2015 , 8473 , 13 ,  ,  ,  ,  , 2713799 , 1 , 2015-01-01 
 GAMBETTA , 2015 , 6855 , 3 , 3bis ,  ,  ,  , 6798910 , 2 , 2015-01-01 
 GARE  DE  L'EST , 2015 , 7609 , 4 , 5 , 7 ,  ,  , 22443106 , 3 , 2015-01-01 
 GARE  DE  LYON , 2015 , 7904 , 1 , 14 , A ,  ,  , 36512570 , 3 , 2015-01-01 
 GARE  DU  NORD , 2015 , 7104 , 4 , 5 ,  ,  ,  , 51141374 , 2 , 2015-01-01 
 GEORGE  V , 2015 , 12554 , 1 ,  ,  ,  ,  , 6643262 , 1 , 2015-01-01 
 GLACIERE , 2015 , 7819 , 6 ,  ,  ,  ,  , 4498939 , 1 , 2015-01-01 
 GONCOURT  (HOPITAL  SAINT-LOUIS) , 2015 , 7642 , 11 ,  ,  ,  ,  , 2192190 , 1 , 2015-01-01 
 GRANDS  BOULEVARDS  (RUE  MONTMARTRE) , 2015 , 9734 , 8 , 9 ,  ,  ,  , 6807424 , 2 , 2015-01-01 
 GUY  MOQUET , 2015 , 6979 , 13 ,  ,  ,  ,  , 4004960 , 1 , 2015-01-01 
 HAVRE-CAUMARTIN , 2015 , 8079 , 3 , 9 ,  ,  ,  , 8277127 , 2 , 2015-01-01 
 HOCHE , 2015 , 4619 ,  ,  ,  ,  ,  ,  , 1 , 2015-01-01 
 HOTEL  DE  VILLE , 2015 , 10190 , 1 , 11 ,  ,  ,  , 12307363 , 2 , 2015-01-01 
 IENA , 2015 , 9693 , 9 ,  ,  ,  ,  , 2646049 , 1 , 2015-01-01 
 INVALIDES , 2015 , 12241 , 8 , 13 ,  ,  ,  , 6540934 , 2 , 2015-01-01 
 JACQUES  BONSERGENT , 2015 , 8067 , 5 ,  ,  ,  ,  , 2477876 , 1 , 2015-01-01 
 JASMIN , 2015 , 8600 , 9 ,  ,  ,  ,  , 1935764 , 1 , 2015-01-01 
 JAURES , 2015 , 6704 , 2 , 5 , 7bis ,  ,  , 5836196 , 3 , 2015-01-01 
 JAVEL , 2015 , 7713 , 10 ,  ,  ,  ,  , 2969444 , 1 , 2015-01-01 
 JOURDAIN , 2015 , 5758 , 11 ,  ,  ,  ,  , 3029314 , 1 , 2015-01-01 
 JULES  JOFFRIN , 2015 , 6817 , 12 ,  ,  ,  ,  , 4034229 , 1 , 2015-01-01 
 JUSSIEU , 2015 , 10048 , 7 , 10 ,  ,  ,  , 4328012 , 2 , 2015-01-01 
 KLEBER , 2015 , 9155 , 6 ,  ,  ,  ,  , 1253324 , 1 , 2015-01-01 
 LA  CHAPELLE , 2015 , 6354 , 2 ,  ,  ,  ,  , 6534340 , 1 , 2015-01-01 
 LA  FOURCHE , 2015 , 7433 , 13 ,  ,  ,  ,  , 2563103 , 1 , 2015-01-01 
 LA  MOTTE-PICQUET-GRENELLE , 2015 , 8834 , 6 , 8 , 10 ,  ,  , 7958383 , 3 , 2015-01-01 
 LA  MUETTE , 2015 , 8912 , 9 ,  ,  ,  ,  , 3991922 , 1 , 2015-01-01 
 LA  TOUR  MAUBOURG , 2015 , 10646 , 8 ,  ,  ,  ,  , 2139593 , 1 , 2015-01-01 
 LAMARCK-CAULAINCOURT , 2015 , 8032 , 12 ,  ,  ,  ,  , 2704202 , 1 , 2015-01-01 
 LAUMIERE , 2015 , 6109 , 5 ,  ,  ,  ,  , 4325317 , 1 , 2015-01-01 
 LE  PELETIER , 2015 , 8492 , 7 ,  ,  ,  ,  , 2451509 , 1 , 2015-01-01 
 LEDRU-ROLLIN , 2015 , 8621 , 8 ,  ,  ,  ,  , 3777270 , 1 , 2015-01-01 
 LES  GOBELINS , 2015 , 8489 , 7 ,  ,  ,  ,  , 3377372 , 1 , 2015-01-01 
 LES  HALLES , 2015 , 10186 , 4 ,  ,  ,  ,  , 16069170 , 1 , 2015-01-01 
 LIEGE , 2015 , 8364 , 13 ,  ,  ,  ,  , 1662452 , 1 , 2015-01-01 
 LOUIS  BLANC , 2015 , 6776 , 7 , 7bis ,  ,  ,  , 2272326 , 2 , 2015-01-01 
 LOUISE  MICHEL , 2015 , 7388 ,  ,  ,  ,  ,  ,  , 1 , 2015-01-01 
 LOURMEL , 2015 , 7970 , 8 ,  ,  ,  ,  , 2301922 , 1 , 2015-01-01 
 LOUVRE-RIVOLI , 2015 , 10736 , 1 ,  ,  ,  ,  , 2633369 , 1 , 2015-01-01 
 MABILLON , 2015 , 12398 , 10 ,  ,  ,  ,  , 1859872 , 1 , 2015-01-01 
 MADELEINE , 2015 , 8635 , 8 , 12 , 14 ,  ,  , 8473016 , 3 , 2015-01-01 
 MAIRIE  DE  MONTROUGE , 2015 , 6800 ,  ,  ,  ,  ,  ,  , 1 , 2015-01-01 
 MAISON  BLANCHE , 2015 , 6918 , 7 ,  ,  ,  ,  , 1803381 , 1 , 2015-01-01 
 MALESHERBES , 2015 , 8555 , 3 ,  ,  ,  ,  , 2406916 , 1 , 2015-01-01 
 MARAICHERS , 2015 , 6284 , 9 ,  ,  ,  ,  , 2608017 , 1 , 2015-01-01 
 MARCADET-POISSONNIERS , 2015 , 6390 , 4 , 12 ,  ,  ,  , 5973655 , 2 , 2015-01-01 
 MARX  DORMOY , 2015 , 5848 , 12 ,  ,  ,  ,  , 3359946 , 1 , 2015-01-01 
 MAUBERT-MUTUALITE , 2015 , 10919 , 10 ,  ,  ,  ,  , 2226690 , 1 , 2015-01-01 
 MENILMONTANT , 2015 , 7159 , 2 ,  ,  ,  ,  , 3943809 , 1 , 2015-01-01 
 MICHEL  BIZOT , 2015 , 7416 , 8 ,  ,  ,  ,  , 1906545 , 1 , 2015-01-01 
 MICHEL-ANGE-AUTEUIL , 2015 , 8542 , 9 , 10 ,  ,  ,  , 2042174 , 2 , 2015-01-01 
 MICHEL-ANGE-MOLITOR , 2015 , 7879 , 9 , 10 ,  ,  ,  , 2247014 , 2 , 2015-01-01 
 MIRABEAU , 2015 , 8003 , 10 ,  ,  ,  ,  , 1377611 , 1 , 2015-01-01 
 MIROMESNIL , 2015 , 9471 , 9 , 13 ,  ,  ,  , 5908201 , 2 , 2015-01-01 
 MONCEAU , 2015 , 8945 , 2 ,  ,  ,  ,  , 1672269 , 1 , 2015-01-01 
 MONTGALLET , 2015 , 7644 , 8 ,  ,  ,  ,  , 1596702 , 1 , 2015-01-01 
 MONTPARNASSE , 2015 , 9361 , 4 , 6 , 12 , 13 ,  , 29857740 , 4 , 2015-01-01 
 MOUTON-DUVERNET , 2015 , 8145 , 4 ,  ,  ,  ,  , 1583761 , 1 , 2015-01-01 
 NATION , 2015 , 7605 , 1 , 2 , 6 , 9 ,  , 8834660 , 4 , 2015-01-01 
 NATIONALE , 2015 , 7204 , 6 ,  ,  ,  ,  , 2497964 , 1 , 2015-01-01 
 NOTRE-DAME-DE-LORETTE , 2015 , 8593 , 12 ,  ,  ,  ,  , 2833104 , 1 , 2015-01-01 
 NOTRE-DAME-DES-CHAMPS , 2015 , 10619 , 12 ,  ,  ,  ,  , 2051828 , 1 , 2015-01-01 
 OBERKAMPF , 2015 , 8318 , 5 , 9 ,  ,  ,  , 4416955 , 2 , 2015-01-01 
 ODEON , 2015 , 11847 , 4 , 10 ,  ,  ,  , 5600764 , 2 , 2015-01-01 
 OLYMPIADES , 2015 , 6693 , 14 ,  ,  ,  ,  , 7912359 , 1 , 2015-01-01 
 OPERA , 2015 , 9185 , 3 , 7 , 8 ,  ,  , 10501357 , 3 , 2015-01-01 
 OURCQ , 2015 , 6199 , 5 ,  ,  ,  ,  , 3763663 , 1 , 2015-01-01 
 PALAIS  ROYAL-MUSEE  DU  LOUVRE , 2015 , 11159 , 1 , 7 ,  ,  ,  , 9592920 , 2 , 2015-01-01 
 PARMENTIER , 2015 , 7528 , 3 ,  ,  ,  ,  , 3103492 , 1 , 2015-01-01 
 PASSY , 2015 , 8818 , 6 ,  ,  ,  ,  , 3187985 , 1 , 2015-01-01 
 PASTEUR , 2015 , 8625 , 6 , 12 ,  ,  ,  , 4493457 , 2 , 2015-01-01 
 PELLEPORT , 2015 , 6607 , 3bis ,  ,  ,  ,  , 329597 , 1 , 2015-01-01 
 PERE  LACHAISE , 2015 , 7459 , 2 , 3 ,  ,  ,  , 4724592 , 2 , 2015-01-01 
 PEREIRE-LEVALLOIS , 2015 , 8258 , 3 ,  ,  ,  ,  , 4446732 , 1 , 2015-01-01 
 PERNETY , 2015 , 7922 , 13 ,  ,  ,  ,  , 3050541 , 1 , 2015-01-01 
 PHILIPPE  AUGUSTE , 2015 , 7312 , 2 ,  ,  ,  ,  , 1763562 , 1 , 2015-01-01 
 PICPUS , 2015 , 7541 , 6 ,  ,  ,  ,  , 1302314 , 1 , 2015-01-01 
 PIGALLE , 2015 , 8298 , 2 , 12 ,  ,  ,  , 5599495 , 2 , 2015-01-01 
 PLACE  D'ITALIE , 2015 , 7552 , 5 , 6 , 7 ,  ,  , 10577276 , 3 , 2015-01-01 
 PLACE  DE  CLICHY , 2015 , 7779 , 2 , 13 ,  ,  ,  , 8020440 , 2 , 2015-01-01 
 PLACE  DES  FETES , 2015 , 5460 , 7bis , 11 ,  ,  ,  , 2921564 , 2 , 2015-01-01 
 PLACE  MONGE  (JARDIN  DES  PLANTES) , 2015 , 9718 , 7 ,  ,  ,  ,  , 2828772 , 1 , 2015-01-01 
 PLAISANCE , 2015 , 7657 , 13 ,  ,  ,  ,  , 4784211 , 1 , 2015-01-01 
 POISSONNIERE , 2015 , 7881 , 7 ,  ,  ,  ,  , 3466034 , 1 , 2015-01-01 
 PONT-MARIE  (CITE  DES  ARTS) , 2015 , 11041 , 7 ,  ,  ,  ,  , 1733641 , 1 , 2015-01-01 
 PONT-NEUF  (LA  MONNAIE) , 2015 , 11107 , 7 ,  ,  ,  ,  , 1546517 , 1 , 2015-01-01 
 PORTE  D'AUTEUIL , 2015 , 8503 , 10 ,  ,  ,  ,  , 622094 , 1 , 2015-01-01 
 PORTE  D'ITALIE , 2015 , 6550 , 7 ,  ,  ,  ,  , 2363639 , 1 , 2015-01-01 
 PORTE  D'IVRY , 2015 , 6298 , 7 ,  ,  ,  ,  , 1901960 , 1 , 2015-01-01 
 PORTE  D'ORLEANS , 2015 , 7232 , 4 ,  ,  ,  ,  , 6259225 , 1 , 2015-01-01 
 PORTE  DAUPHINE , 2015 , 9613 , 2 ,  ,  ,  ,  , 2932159 , 1 , 2015-01-01 
 PORTE  DE  BAGNOLET , 2015 , 6822 , 3 ,  ,  ,  ,  , 4020800 , 1 , 2015-01-01 
 PORTE  DE  CHAMPERRET , 2015 , 8139 , 3 ,  ,  ,  ,  , 3189251 , 1 , 2015-01-01 
 PORTE  DE  CHARENTON , 2015 , 7014 , 8 ,  ,  ,  ,  , 2105924 , 1 , 2015-01-01 
 PORTE  DE  CHOISY , 2015 , 6164 , 7 ,  ,  ,  ,  , 2598026 , 1 , 2015-01-01 
 PORTE  DE  CLICHY , 2015 , 6763 , 13 ,  ,  ,  ,  , 4495978 , 1 , 2015-01-01 
 PORTE  DE  CLIGNANCOURT , 2015 , 6561 , 4 ,  ,  ,  ,  , 8393535 , 1 , 2015-01-01 
 PORTE  DE  LA  CHAPELLE , 2015 , 5693 , 12 ,  ,  ,  ,  , 2379751 , 1 , 2015-01-01 
 PORTE  DE  LA  VILLETTE , 2015 , 5671 , 7 ,  ,  ,  ,  , 4159555 , 1 , 2015-01-01 
 PORTE  DE  MONTREUIL , 2015 , 6024 , 9 ,  ,  ,  ,  , 4344016 , 1 , 2015-01-01 
 PORTE  DE  PANTIN , 2015 , 6390 , 5 ,  ,  ,  ,  , 5615256 , 1 , 2015-01-01 
 PORTE  DE  SAINT-CLOUD , 2015 , 7714 , 9 ,  ,  ,  ,  , 5174694 , 1 , 2015-01-01 
 PORTE  DE  SAINT-OUEN , 2015 , 6414 , 13 ,  ,  ,  ,  , 3761155 , 1 , 2015-01-01 
 PORTE  DE  VANVES , 2015 , 6770 , 13 ,  ,  ,  ,  , 4660158 , 1 , 2015-01-01 
 PORTE  DE  VERSAILLES , 2015 , 6570 , 12 ,  ,  ,  ,  , 5823995 , 1 , 2015-01-01 
 PORTE  DE  VINCENNES , 2015 , 6937 , 1 ,  ,  ,  ,  , 7633984 , 1 , 2015-01-01 
 PORTE  DES  LILAS , 2015 , 5997 , 3bis , 11 ,  ,  ,  , 3439385 , 2 , 2015-01-01 
 PORTE  DOREE , 2015 , 7167 , 8 ,  ,  ,  ,  , 2763236 , 1 , 2015-01-01 
 PORTE  MAILLOT , 2015 , 8904 , 1 ,  ,  ,  ,  , 8226552 , 1 , 2015-01-01 
 PRE  SAINT-GERVAIS , 2015 , 5799 , 7bis ,  ,  ,  ,  , 386948 , 1 , 2015-01-01 
 PYRAMIDES , 2015 , 11962 , 7 , 14 ,  ,  ,  , 6069724 , 2 , 2015-01-01 
 PYRENEES , 2015 , 5913 , 11 ,  ,  ,  ,  , 2920049 , 1 , 2015-01-01 
 QUAI  DE  LA  GARE , 2015 , 7014 , 6 ,  ,  ,  ,  , 3033927 , 1 , 2015-01-01 
 QUAI  DE  LA  RAPEE , 2015 , 8373 , 5 ,  ,  ,  ,  , 1155002 , 1 , 2015-01-01 
 QUATRE  SEPTEMBRE , 2015 , 10865 , 3 ,  ,  ,  ,  , 1997741 , 1 , 2015-01-01 
 RAMBUTEAU , 2015 , 9670 , 11 ,  ,  ,  ,  , 3219510 , 1 , 2015-01-01 
 RANELAGH , 2015 , 8729 , 9 ,  ,  ,  ,  , 2314539 , 1 , 2015-01-01 
 RASPAIL , 2015 , 9595 , 4 , 6 ,  ,  ,  , 1887146 , 2 , 2015-01-01 
 REAUMUR-SEBASTOPOL , 2015 , 9269 , 3 , 4 ,  ,  ,  , 5291106 , 2 , 2015-01-01 
 RENNES , 2015 , 11596 , 12 ,  ,  ,  ,  , 1181641 , 1 , 2015-01-01 
 REPUBLIQUE , 2015 , 8493 , 3 , 5 , 8 , 9 , 11 , 16596521 , 5 , 2015-01-01 
 REUILLY-DIDEROT , 2015 , 7690 , 1 , 8 ,  ,  ,  , 6328040 , 2 , 2015-01-01 
 RICHARD  LENOIR , 2015 , 7877 , 5 ,  ,  ,  ,  , 2422197 , 1 , 2015-01-01 
 RICHELIEU-DROUOT , 2015 , 9859 , 8 , 9 ,  ,  ,  , 5014491 , 2 , 2015-01-01 
 RIQUET , 2015 , 5794 , 7 ,  ,  ,  ,  , 2312581 , 1 , 2015-01-01 
 ROME , 2015 , 8247 , 2 ,  ,  ,  ,  , 2753714 , 1 , 2015-01-01 
 RUE  DE  LA  POMPE  (AVENUE  GEORGES  MANDEL) , 2015 , 9369 , 9 ,  ,  ,  ,  , 3004505 , 1 , 2015-01-01 
 RUE  DES  BOULETS , 2015 , 7521 , 9 ,  ,  ,  ,  , 2583609 , 1 , 2015-01-01 
 RUE  DU  BAC , 2015 , 12799 , 12 ,  ,  ,  ,  , 2304665 , 1 , 2015-01-01 
 SAINT-AMBROISE , 2015 , 7575 , 9 ,  ,  ,  ,  , 2977955 , 1 , 2015-01-01 
 SAINT-AUGUSTIN , 2015 , 8382 , 9 ,  ,  ,  ,  , 3052723 , 1 , 2015-01-01 
 SAINT-FARGEAU , 2015 , 6025 , 3bis ,  ,  ,  ,  , 716699 , 1 , 2015-01-01 
 SAINT-FRANCOIS-XAVIER , 2015 , 10929 , 13 ,  ,  ,  ,  , 1701996 , 1 , 2015-01-01 
 SAINT-GEORGES , 2015 , 8560 , 12 ,  ,  ,  ,  , 1135274 , 1 , 2015-01-01 
 SAINT-GERMAIN-DES-PRES , 2015 , 12699 , 4 ,  ,  ,  ,  , 3866889 , 1 , 2015-01-01 
 SAINT-JACQUES , 2015 , 8433 , 6 ,  ,  ,  ,  , 1954772 , 1 , 2015-01-01 
 SAINT-LAZARE , 2015 , 8236 , 3 , 9 , 12 , 13 , 14 , 46923920 , 5 , 2015-01-01 
 SAINT-MANDE , 2015 , 4911 ,  ,  ,  ,  ,  ,  , 1 , 2015-01-01 
 SAINT-MARCEL , 2015 , 8556 , 5 ,  ,  ,  ,  , 2131369 , 1 , 2015-01-01 
 SAINT-MAUR , 2015 , 7295 , 3 ,  ,  ,  ,  , 2924501 , 1 , 2015-01-01 
 SAINT-MICHEL , 2015 , 11302 , 4 ,  ,  ,  ,  , 6286034 , 1 , 2015-01-01 
 SAINT-PAUL  (LE  MARAIS) , 2015 , 10428 , 1 ,  ,  ,  ,  , 6502842 , 1 , 2015-01-01 
 SAINT-PHILIPPE-DU-ROULE , 2015 , 11471 , 9 ,  ,  ,  ,  , 3187997 , 1 , 2015-01-01 
 SAINT-PLACIDE , 2015 , 10948 , 4 ,  ,  ,  ,  , 3304968 , 1 , 2015-01-01 
 SAINT-SEBASTIEN  FROISSART , 2015 , 8729 , 8 ,  ,  ,  ,  , 1685816 , 1 , 2015-01-01 
 SAINT-SULPICE , 2015 , 12378 , 4 ,  ,  ,  ,  , 2287634 , 1 , 2015-01-01 
 SEGUR , 2015 , 9024 , 10 ,  ,  ,  ,  , 1669348 , 1 , 2015-01-01 
 SENTIER , 2015 , 10083 , 3 ,  ,  ,  ,  , 3420249 , 1 , 2015-01-01 
 SEVRES-BABYLONE , 2015 , 12019 , 10 , 12 ,  ,  ,  , 5037509 , 2 , 2015-01-01 
 SEVRES-LECOURBE , 2015 , 9012 , 6 ,  ,  ,  ,  , 1957206 , 1 , 2015-01-01 
 SIMPLON , 2015 , 6451 , 4 ,  ,  ,  ,  , 2366858 , 1 , 2015-01-01 
 SOLFERINO , 2015 , 13180 , 12 ,  ,  ,  ,  , 2073832 , 1 , 2015-01-01 
 STALINGRAD , 2015 , 6559 , 2 , 5 , 7 ,  ,  , 6891050 , 3 , 2015-01-01 
 STRASBOURG-SAINT-DENIS , 2015 , 8378 , 4 , 8 , 9 ,  ,  , 9524965 , 3 , 2015-01-01 
 SULLY-MORLAND , 2015 , 10392 , 7 ,  ,  ,  ,  , 1502672 , 1 , 2015-01-01 
