name,annee,value,category,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Trafic,nb_lignes,date
 LAMARCK-CAULAINCOURT , 2014 , 7972 , 12 ,  ,  ,  ,  , 2704202 , 1 , 2014-01-01 
 LAUMIERE , 2014 , 6656 , 5 ,  ,  ,  ,  , 4325317 , 1 , 2014-01-01 
 LE  PELETIER , 2014 , 9075 , 7 ,  ,  ,  ,  , 2451509 , 1 , 2014-01-01 
 LEDRU-ROLLIN , 2014 , 8461 , 8 ,  ,  ,  ,  , 3777270 , 1 , 2014-01-01 
 LES  GOBELINS , 2014 , 8362 , 7 ,  ,  ,  ,  , 3377372 , 1 , 2014-01-01 
 LES  HALLES , 2014 , 9514 , 4 ,  ,  ,  ,  , 16069170 , 1 , 2014-01-01 
 LIEGE , 2014 , 9562 , 13 ,  ,  ,  ,  , 1662452 , 1 , 2014-01-01 
 LOUIS  BLANC , 2014 , 6609 , 7 , 7bis ,  ,  ,  , 2272326 , 2 , 2014-01-01 
 LOUISE  MICHEL , 2014 , 7517 ,  ,  ,  ,  ,  ,  , 1 , 2014-01-01 
 LOURMEL , 2014 , 8018 , 8 ,  ,  ,  ,  , 2301922 , 1 , 2014-01-01 
 LOUVRE-RIVOLI , 2014 , 9777 , 1 ,  ,  ,  ,  , 2633369 , 1 , 2014-01-01 
 MABILLON , 2014 , 12769 , 10 ,  ,  ,  ,  , 1859872 , 1 , 2014-01-01 
 MADELEINE , 2014 , 12807 , 8 , 12 , 14 ,  ,  , 8473016 , 3 , 2014-01-01 
 MAIRIE  DE  MONTROUGE , 2014 , 7454 ,  ,  ,  ,  ,  ,  , 1 , 2014-01-01 
 MAISON  BLANCHE , 2014 , 6640 , 7 ,  ,  ,  ,  , 1803381 , 1 , 2014-01-01 
 MALESHERBES , 2014 , 8636 , 3 ,  ,  ,  ,  , 2406916 , 1 , 2014-01-01 
 MARAICHERS , 2014 , 5585 , 9 ,  ,  ,  ,  , 2608017 , 1 , 2014-01-01 
 MARCADET-POISSONNIERS , 2014 , 6646 , 4 , 12 ,  ,  ,  , 5973655 , 2 , 2014-01-01 
 MARX  DORMOY , 2014 , 5923 , 12 ,  ,  ,  ,  , 3359946 , 1 , 2014-01-01 
 MAUBERT-MUTUALITE , 2014 , 11500 , 10 ,  ,  ,  ,  , 2226690 , 1 , 2014-01-01 
 MENILMONTANT , 2014 , 7476 , 2 ,  ,  ,  ,  , 3943809 , 1 , 2014-01-01 
 MICHEL  BIZOT , 2014 , 7215 , 8 ,  ,  ,  ,  , 1906545 , 1 , 2014-01-01 
 MICHEL-ANGE-AUTEUIL , 2014 , 8404 , 9 , 10 ,  ,  ,  , 2042174 , 2 , 2014-01-01 
 MICHEL-ANGE-MOLITOR , 2014 , 7819 , 9 , 10 ,  ,  ,  , 2247014 , 2 , 2014-01-01 
 MIRABEAU , 2014 , 8090 , 10 ,  ,  ,  ,  , 1377611 , 1 , 2014-01-01 
 MIROMESNIL , 2014 , 11884 , 9 , 13 ,  ,  ,  , 5908201 , 2 , 2014-01-01 
