index;Latitude;Longitude;gares_id;nom_gare;nomlong;ligne;x;y;prix_moyen_2014;prix_moyen_2015;prix_moyen_2016;prix_moyen_2017;prix_moyen_2018;prix_moyen_2019;prix_moyen_global
359;48,84494263;2,328778027;601;Notre-Dame-des-Champs;NOTRE-DAME-DES-CHAMPS;12;650739,5063;6860753,426;10230.9557777089;10262.5051064442;10041.9338657614;11387.9317507157;11984.5935361611;12541.5119751159;11074.9053353179
41;48,86465788;2,368410026;602;Oberkampf;OBERKAMPF;5;653665,5406;6862921,595;8301.63926970785;8101.70672516801;8211.62210956392;9795.72157764622;13007.5292320127;10899.8350114684;9719.67565426121
107;48,86472762;2,368496387;603;Oberkampf;OBERKAMPF;9;653671,9381;6862929,299;8291.13058398824;8090.78614386483;8145.55687116325;9810.10849865231;12980.2439031661;10874.875508241;9698.78358484598
360;48,85216726;2,339646336;604;Odéon;ODEON;10;651543,823;6861550,009;12245.2272011802;11682.9359023145;11200.7349186211;13985.9150487192;13263.4715820899;14624.3543826735;12833.7731725997
275;48,85230076;2,339727782;605;Odéon;ODEON;4;651549,9234;6861564,803;12324.051024625;11766.8686853097;11314.6270357452;13981.6904289923;13247.3829835301;14620.5554073816;12875.862594264
206;48,87099178;2,331989523;606;Opéra;OPERA;3;650999,694;6863647,863;42642.3929422301;25023.7497557611;9082.38005938471;14728.7380370041;20936.897564858;28264.2516264403;23446.4016642797
108;48,8704867;2,332407406;607;Opéra;OPERA;7;651029,8713;6863591,442;40976.2253074834;23664.6660768589;8959.36778501313;14296.205643662;19804.1780032861;27835.8701724769;22589.4188314634
276;48,87064173;2,3321386;608;Opéra;OPERA;8;651010,2997;6863608,847;40762.9596463278;32038.8773111998;8492.58973675605;14396.1397242736;20433.0610246297;28023.2620910612;24024.4815890414
193;48,88713487;2,386960017;614;Ourcq;OURCQ;5;655045,7743;6865410,167;6360.08863757695;6173.96606181762;5953.20940447479;6870.22822195964;6136.94716945899;8019.02507883164;6585.57742901994
194;48,86234803;2,336496462;618;Palais Royal-Musée du Louvre;PALAIS ROYAL-MUSEE DU LOUVRE;1;651322,2057;6862683,958;11993.8893642101;13622.9240456978;16715.662219068;12696.3633516017;13223.8177717584;21258.7141756673;14918.5618213339
195;48,86282967;2,336878398;619;Palais Royal-Musée du Louvre;PALAIS ROYAL-MUSEE DU LOUVRE;7;651350,6754;6862737,277;11790.7060417863;14021.3036265069;16690.3540464465;12282.5520423928;12984.7675458365;20340.0125385841;14684.9493069255
271;48,86525379;2,37458197;625;Parmentier;PARMENTIER;3;654118,8397;6862984,251;7523.31970410407;7229.52196477581;7617.39789662136;8894.95123150365;13868.8585868967;9936.84757459963;9178.48282641688
196;48,85744869;2,285812444;626;Passy;PASSY;6;647598,9541;6862171,635;9234.60961625488;8923.61810503618;9523.448413661;10092.2101516612;11045.6697669348;11240.5356112271;10010.0152774625
197;48,84287128;2,312447513;628;Pasteur;PASTEUR;12;649539,0462;6860533,424;8462.57471313159;8500.39766391698;8806.66553889417;8556.0063738233;9055.88254037528;10221.9547843223;8933.91360241062
105;48,84267682;2,312812773;629;Pasteur;PASTEUR;6;649565,6646;6860511,569;8580.11764123188;8517.33923297687;8775.14175124171;8528.66333065142;9068.73743051661;10177.7577119804;8941.29284976648
198;48,86844016;2,401561713;630;Pelleport;PELLEPORT;M3bis;656100,7414;6863323,215;6449.28026261181;6562.30259679018;6668.63432286002;7171.25196950163;7798.99879759609;8511.46496074604;7193.65548501763
36;48,88489626;2,297724346;631;Pereire-Levallois;PEREIRE-LEVALLOIS;3;648500,0697;6865215,748;8339.62481658991;7949.46104488821;8334.95385897896;9510.14409343934;9970.98480141355;11098.3957105951;9200.59405431752
350;48,86265402;2,387607288;633;Père Lachaise;PERE LACHAISE;2;655072,126;6862687,687;5620.1882205653;3311.1312247426;7544.12096700813;8574.8434611791;8090.98231736843;8568.84359066925;6951.6849635888
351;48,86312321;2,385882449;634;Père Lachaise;PERE LACHAISE;3;654945,9924;6862740,841;5961.16696757811;3865.76524637444;7623.46110230419;8390.65767074056;8257.7104980944;8857.54265923521;7159.38402405449
199;48,83393639;2,318078285;636;Pernéty;PERNETY;13;649943,7106;6859536,379;8014.00651407265;7594.39582280491;8104.34911555893;8657.84812166963;8804.603399102;5947.78121075271;7853.83069732681
201;48,85846655;2,389729852;640;Philippe Auguste;PHILIPPE AUGUSTE;2;655224,2451;6862220,868;8224.15931021445;7272.59001423316;7653.31283943122;8520.62858766773;22900.983044519;9333.03023412292;10650.7840050314
202;48,84506158;2,40128902;641;Picpus;PICPUS;6;656061,0276;6860723,859;7516.73237093464;7480.23923006012;7853.12685522584;8759.2966111413;26672.700701187;9099.38054738808;11230.2460526561
355;48,88251939;2,337081683;646;Pigalle;PIGALLE;12;651383,9697;6864926,505;13910.185664179;8210.85925592925;8710.34094952086;9968.05053887394;9661.97621889806;9933.35214791548;10065.7941292194
272;48,88239015;2,337294791;647;Pigalle;PIGALLE;2;651399,4773;6864912,003;13751.6453209747;8129.87885150758;8524.29847797018;9960.47844680283;10487.5898719994;11067.365864607;10320.2094723103
39;48,88380453;2,327243412;648;Place de Clichy;PLACE DE CLICHY;13;650663,7014;6865075,507;8159.65244168497;7742.12318525045;8593.17976008612;9181.69036929779;9126.49120635742;10362.5505809871;8860.94792394398
